brand,category,sku,spu,product
SKT,洁面,SKINTIFIC-40600,玫瑰奶油洁面-粉色,玫瑰奶油洁面-粉色
G2G,面霜,g2g-07,藍莓面霜,蓝莓面霜30g
G2G,精华,g2g-26,377柚子精華,柚子377精华17ml
TP,唇部,TCP133007,多用唇泥,多用唇泥罐007
TP,唇部,TCC108005,3D水光嘟嘟,3D嘟嘟唇彩 005
G2G,精华,g2g-04,水楊酸淨膚精華,积雪草祛痘精华17ml
SKT,洁面,SKINTIFIC-210,VC亮白洗面乳,SKINTIFIC-VC亮白洗面乳80ml
G2G,素颜霜,G2G-20901N,润色霜,GLAD2GLOW 柔焦裸肌潤色霜01N 30g
G2G,卸妆,G2G-222,卸妆膏,粉色卸妆膏80g
G2G,素颜霜,G2G-20902N,润色霜,GLAD2GLOW 柔焦裸肌潤色霜02N 30g
G2G,面霜,G2G-249,藍莓面霜,蓝莓修复面霜 100g
SKT,其他/赠品,SKINTIFIC-2462,定妆散粉,定妆散粉02
TP,唇部,TCC138010,琉璃亮面唇漆,亮面唇漆 010
G2G,素颜霜,G2G-20900N,润色霜,GLAD2GLOW 柔焦裸肌潤色霜00N 30g
TP,唇部,TCC102010,黑管染唇液,染唇液10
TP,唇部,TCC102012,黑管染唇液,染唇液12
TP,唇部,TCC138008,琉璃亮面唇漆,亮面唇漆 008
TP,唇部,TCC102016,黑管染唇液,染唇液16
SKT,其他/赠品,SKINTIFIC-2461,定妆散粉,定妆散粉01
SKT,防晒,SKINTIFIC-293,美白防晒霜,美白防晒霜
G2G,面霜,g2g-38,积雪草保湿凝露30g,镇静舒缓啫喱30g
SKT,洁面,SKINTIFIC-31,洁面慕斯,洁面慕斯
SKT,面霜,SKINTIFIC-426001,B5面霜,5%B5神经酰胺修复面霜
TP,眼部,TYX109001,單頭眼線液筆,单头眼线液笔01
SKT,气垫,SKINTIFIC-1343,柔霧控油藍氣墊,哑光蓝色气垫03 11g
SKT,唇部精华,SKINTIFIC-1235,唇部精华,桃色唇部精华
