"brand","month","sku","product","quantity","channel"
"G2G","2025-12","G2G-29","GLAD2GLOW紅石榴透亮保濕面霜30g","14898","POYA"
"G2G","2025-12","G2G-31","GLAD2GLOW艾草淨膚泥膜棒25g","724","POYA"
"G2G","2025-12","G2G-34","GLAD2GLOW藍莓潔面乳70ml","161","POYA"
"G2G","2025-12","G2G-35","GLAD2GLOW 377淨透煥采面霜30g","370","POYA"
"G2G","2025-12","G2G-38","GLAD2GLOW舒緩保濕凝露30g","136","POYA"
"G2G","2025-12","G2G-39","GLAD2GLOW 淨膚調理棉片30片","85","Watsons"
"G2G","2025-12","G2G-40","GLAD2GLOW舒緩保濕凝露55g","381","POYA"
"G2G","2025-12","G2G-42","GLAD2GLOW櫻花卸妝水300ml","517","POYA"
"G2G","2025-12","G2G-43","GLAD2GLOW牛奶潔面乳80g","1393","POYA"
"G2G","2025-12","G2G-45","GLAD2GLOW紅石榴淨化透亮泥膜棒25g","453","POYA"
"G2G","2025-12","G2G-51","GLAD2GLOW視黃醇精華17ml","588","POYA"
"G2G","2025-12","G2G-72","GLAD2GLOW積雪草淨化調理潔面凝露70ml","172","POYA"
"G2G","2025-12","G2G-800","GLAD2GLOW絲絨粉餅8.5g-00","429","POYA"
"G2G","2025-12","G2G-801","GLAD2GLOW絲絨粉餅8.5g-01","499","POYA"
"G2G","2025-12","G2G-802","GLAD2GLOW絲絨粉餅8.5g-02","576","POYA"
"G2G","2025-12","G2G-803","GLAD2GLOW絲絨粉餅8.5g-03","377","POYA"
"G2G","2025-12","G2G-82","GLAD2GLOW淨化調理面霜30g","273","POYA"
"G2G","2025-12","G2G-83","GLAD2GLOW視黃醇面霜30g","534","POYA"
"G2G","2026-01","G2G-05","GLAD2GLOW紅石榴透亮精華17ml","2622","POYA"
"G2G","2026-01","G2G-07","GLAD2GLOW藍莓保濕面霜30g","859","POYA"
"G2G","2026-01","G2G-102","GLAD2GLOW積雪草化妝水80ml","286","POYA"
"G2G","2026-01","G2G-131","GLAD2GLOW柔嫩淨膚精華15ml","1299","POYA"
"G2G","2026-01","G2G-1940","GLAD2GLOW 2合1完美氣墊粉餅11ml+8g-00","542","POYA"
